number,question
1,Logistic companies in Romania
2,Public software companies with more than 1000 employees.
3,Food and beverage manufacturers in France
4,Companies that could supply packaging materials for a direct-to-consumer cosmetics brand
5,Construction companies in the United States with revenue over $50 million
6,Pharmaceutical companies in Switzerland
7,B2B SaaS companies providing HR solutions in Europe
8,Clean energy startups founded after 2018 with fewer than 200 employees
9,Fast-growing fintech companies competing with traditional banks in Europe.
10,E-commerce companies using Shopify or similar platforms
11,Renewable energy equipment manufacturers in Scandinavia
12,Companies that manufacture or supply critical components for electric vehicle battery production
